"lat","lon","n2o","clay","silt","sand","bd","soc","noc","ph","croptype","Pwin_before","Pspr_before","Psum_before","Paut_before","Pwin","Pspr","Psum","Paut","Twin_before","Tspr_before","Tsum_before","Taut_before","Twin","Tspr","Tsum","Taut","ferttype","fertN","NO3","NH4"
51.029999,9.06,1.51657508881031,36.599998,3,60.400002,9999,1.6,0.18,7.5,3,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,195,97.5,97.5
51,3.8,1.92587642386525,70,20,10,9999,9999,9999,9999,1,319.700012,173.199997,145.100006,200.699997,379.200012,299.600006,103.5,233.399994,3.66,10.563333,17.176666,8.303333,4.843333,9.173333,19.706667,11.68,8,75,37.5,37.5
52.259998,10.52,1.08719823399415,20,69,11,9999,9999,9999,9999,2,147.199997,149.600006,182.899994,181.600006,144.199997,152.800003,142.300003,127.800003,-0.546667,10.093333,18.27,8.96,1.146667,8.246667,17.716667,10.2,8,210,105,105
52.259998,10.52,0.98488578017961,5.4,52.599998,42,9999,9999,9999,9999,2,147.199997,149.600006,182.899994,181.600006,144.199997,152.800003,142.300003,127.800003,-0.546667,10.093333,18.27,8.96,1.146667,8.246667,17.716667,10.2,8,108,54,54
52.259998,10.52,1.04403065089106,20,69,11,9999,9999,9999,9999,2,147.199997,149.600006,182.899994,181.600006,144.199997,152.800003,142.300003,127.800003,-0.546667,10.093333,18.27,8.96,1.146667,8.246667,17.716667,10.2,45,60,60,0
52.259998,10.52,1.27318498263214,5.4,52.599998,42,9999,9999,9999,9999,2,147.199997,149.600006,182.899994,181.600006,144.199997,152.800003,142.300003,127.800003,-0.546667,10.093333,18.27,8.96,1.146667,8.246667,17.716667,10.2,45,60,60,0
48.099998,7.4,2,42.299999,39.900002,17.799999,9999,2.78,0.32,7.9,2,248.199997,200.300003,169.5,215.699997,206.699997,185.899994,104.599998,199,-1.836667,9.12,18.473333,9.306667,-0.263333,7.79,18.633333,10.436667,10,140,0,0
48.099998,7.4,1.92353840616713,22.6,68.099998,9.3,9999,1.24,0.14,7.5,2,248.199997,200.300003,169.5,215.699997,206.699997,185.899994,104.599998,199,-1.836667,9.12,18.473333,9.306667,-0.263333,7.79,18.633333,10.436667,26,130,65,65
48.099998,7.4,2.73861278752583,42.299999,39.900002,17.799999,9999,2.78,0.32,7.9,2,248.199997,200.300003,169.5,215.699997,206.699997,185.899994,104.599998,199,-1.836667,9.12,18.473333,9.306667,-0.263333,7.79,18.633333,10.436667,26,125,62.5,62.5
48.099998,7.4,1.87082869338697,22.6,68.099998,9.3,9999,1.24,0.14,7.5,2,248.199997,200.300003,169.5,215.699997,206.699997,185.899994,104.599998,199,-1.836667,9.12,18.473333,9.306667,-0.263333,7.79,18.633333,10.436667,26,140,70,70
55.799999,-3.22,1.16189500386223,17,23,60,9999,3.176471,9999,7,1,285.899994,252.699997,156.899994,139.600006,225.699997,206.5,125.599998,221.100006,1.546667,7.44,13.326667,6.456667,2.616667,6.346667,15.093333,8.55,26,140,70,70
52.23,13,1.34610549363711,6.2,6,87.800003,1.5,0.9,0.08,6,2,166.100006,243,228.399994,297.200012,219,206.399994,155.100006,120.699997,0.126667,8.566667,17.233334,7.483333,1.673333,9.303333,19.286667,11.406667,8,150,75,75
52.23,13,1.20166551086398,6.2,6,87.800003,1.5,0.9,0.08,6,2,166.100006,243,228.399994,297.200012,219,206.399994,155.100006,120.699997,0.126667,8.566667,17.233334,7.483333,1.673333,9.303333,19.286667,11.406667,8,75,36.5,36.5
52.23,13,0.991463564635635,6.2,6,87.800003,1.5,0.9,0.08,6,2,166.100006,243,228.399994,297.200012,219,206.399994,155.100006,120.699997,0.126667,8.566667,17.233334,7.483333,1.673333,9.303333,19.286667,11.406667,99,0,0,0
48.5,11.47,3.09741827979367,22,62,16,1.27,1.3,0.13,5.9,2,254.699997,303.899994,279.200012,155.399994,222.699997,261,364.899994,316.100006,-0.74,7.553333,17.84,10.123333,-0.37,8.5,19.456667,8.933333,222,190,47.5,47.5
